r,theoretical,observed_1,simulation_mean_1,simulation_low_1,simulation_high_1,observed_2,simulation_mean_2,simulation_low_2,simulation_high_2,observed_3,simulation_mean_3,simulation_low_3,simulation_high_3,observed_4,simulation_mean_4,simulation_low_4,simulation_high_4
7.1,158.367685667462,115.2,129.952,80,169.6,188.8,184.384,128,224,147.2,118.624,60.8,156.8,300.8,306.24,236.8,355.2
7.15,160.606070433144,115.2,130.88,83.2,169.6,195.2,186.24,128,227.2,147.2,118.624,60.8,156.8,300.8,308.48,236.8,358.4
7.2,162.860163162095,115.2,131.616,83.2,172.8,195.2,186.976,128,230.4,147.2,119.328,60.8,160,300.8,308.48,236.8,358.4
7.25,165.129963854314,115.2,133.6,83.2,176,198.4,189.664,134.4,236.8,147.2,119.328,60.8,160,300.8,309.568,240,361.6
7.3,167.4154725098,118.4,135.424,83.2,176,198.4,191.552,134.4,240,147.2,120.448,64,160,300.8,312.704,243.2,364.8
7.35,169.716689128555,118.4,135.424,83.2,176,201.6,193.472,137.6,240,147.2,121.44,64,160,310.4,315.52,246.4,368
7.4,172.033613710577,118.4,136.608,83.2,179.2,201.6,194.304,137.6,243.2,147.2,122.336,64,163.2,310.4,316.384,246.4,368
7.45,174.366246255868,121.6,138.784,86.4,179.2,201.6,194.304,137.6,243.2,150.4,123.936,64,166.4,310.4,317.056,246.4,368
7.5,176.714586764426,121.6,139.616,86.4,179.2,201.6,194.304,137.6,243.2,153.6,124.736,64,169.6,316.8,319.776,249.6,368
7.55,179.078635236252,124.8,141.44,89.6,182.4,201.6,196.224,140.8,243.2,160,126.336,64,176,323.2,322.88,249.6,371.2
7.6,181.458391671346,128,143.52,89.6,185.6,208,197.984,140.8,246.4,163.2,127.296,64,176,323.2,325.984,252.8,371.2
7.65,183.853856069709,128,144.384,89.6,185.6,208,199.968,140.8,249.6,176,130.496,64,182.4,326.4,328.64,252.8,380.8
7.7,186.265028431339,131.2,145.472,89.6,185.6,211.2,201.664,140.8,252.8,176,130.496,64,182.4,326.4,330.496,259.2,384
7.75,188.691908756237,131.2,145.472,89.6,185.6,214.4,204.96,144,252.8,176,130.496,64,182.4,329.6,333.472,262.4,384
7.8,191.134497044403,131.2,146.24,92.8,185.6,214.4,205.6,144,252.8,179.2,133.536,64,185.6,329.6,333.472,262.4,384
7.85,193.592793295837,131.2,146.24,92.8,185.6,217.6,206.272,144,252.8,182.4,136.256,64,185.6,329.6,334.4,262.4,384
7.9,196.066797510539,131.2,146.24,92.8,185.6,220.8,207.2,144,252.8,182.4,136.256,64,185.6,332.8,336.384,265.6,387.2
7.95,198.556509688509,131.2,147.104,96,185.6,220.8,208.224,147.2,252.8,182.4,136.256,64,185.6,336,339.232,272,396.8
8,201.061929829747,131.2,148.096,99.2,185.6,220.8,210.08,147.2,256,182.4,136.256,64,185.6,339.2,340.192,275.2,400
8.05,203.583057934253,131.2,149.056,99.2,185.6,220.8,210.08,147.2,256,182.4,136.256,64,185.6,345.6,341.952,278.4,400
8.1,206.119894002026,131.2,149.056,99.2,185.6,220.8,210.08,147.2,256,182.4,136.256,64,185.6,345.6,342.72,281.6,400
8.15,208.672438033068,134.4,151.008,102.4,188.8,220.8,210.08,147.2,256,185.6,137.184,64,185.6,348.8,343.648,281.6,400
8.2,211.240690027378,134.4,151.008,102.4,188.8,220.8,211.04,147.2,259.2,185.6,138.304,64,185.6,348.8,344.512,284.8,400
8.25,213.824649984955,134.4,152.096,102.4,188.8,220.8,211.776,147.2,259.2,188.8,141.12,64,185.6,348.8,345.568,288,400
8.3,216.424317905801,137.6,155.392,105.6,192,220.8,211.776,147.2,259.2,188.8,143.904,64,192,348.8,346.304,288,400
8.35,219.039693789914,140.8,157.088,105.6,192,220.8,211.776,147.2,259.2,192,144.704,64,195.2,348.8,347.264,291.2,400
8.4,221.670777637296,140.8,157.92,105.6,192,224,212.896,147.2,259.2,192,144.704,64,195.2,348.8,347.264,291.2,400
8.45,224.317569447945,140.8,158.976,105.6,195.2,224,213.504,147.2,262.4,195.2,145.856,64,195.2,352,349.888,294.4,400
8.5,226.980069221863,144,159.648,108.8,198.4,224,214.4,150.4,265.6,195.2,146.816,67.2,198.4,352,351.68,297.6,400
8.55,229.658276959048,147.2,161.824,108.8,201.6,224,215.424,150.4,268.8,198.4,147.712,67.2,198.4,352,353.44,297.6,400
8.6,232.352192659501,156.8,166.368,112,204.8,224,215.424,150.4,268.8,204.8,150.368,67.2,201.6,352,354.272,297.6,400
